Protocol step	Condition tested	Effect	Comment
RT-PCR Mix	T4g32 protein - 0.125 ug - 5 ul rxn	grey70	No benefit
RT-PCR Mix	T4g32 protein - 0.25 ug - 5 ul rxn	grey70	No benefit
RT-PCR Mix	T4g32 protein - 0.50 ug - 5 ul rxn	grey70	No benefit
RT-PCR Mix	T4g32 protein - 0.75 ug - 5 ul rxn	grey70	No benefit
RT-PCR Mix	T4g32 protein - 1 ug - 5 ul rxn	darkred	Increases the amount of unmapped reads
RT-PCR Mix	T4g32 protein - 0.25 ug + 0.4 uM FS oligodT1 - 5 ul rxn	grey70	No benefit
RT-PCR Mix	T4g32 protein - 0.25 ug + 0.02 uM FS oligodT1 + 5 ul rxn	grey70	No benefit
RT-PCR Mix	T4g32 protein - 0.25 ug + Maxima - 5 ul rxn	grey70	No benefit
RT-PCR Mix	T4g32 protein - 0.50 ug + Maxima - 5 ul rxn	grey70	No benefit
RT-PCR Mix	T4g32 protein - 0.75 ug + Maxima - 5 ul rxn	grey70	No benefit
RT-PCR Mix	T4g32 protein - 0.25 ug - 5 ul rxn - RT 30 min	darkred	Reduction in the number of detected genes
RT-PCR Mix	T4g32 protein - 0.50 ug - 5 ul rxn - RT 30 min	darkred	Reduction in the number of detected genes
RT-PCR Mix	T4g32 protein - 0.75 ug - 5 ul rxn - RT 30 min	darkred	Reduction in the number of detected genes
RT-PCR Mix	T4g32 protein - 0.25 ug - 5 ul rxn - 1.2% Triton (lysis)	darkred	Reduction in the number of detected genes
RT-PCR Mix	T4g32 protein - 0.5 ug - 5 ul rxn - 1.2% Triton (lysis)	darkred	Reduction in the number of detected genes
RT-PCR Mix	T4g32 protein - 1 ug - 5 ul rxn - 1.2% Triton (lysis)	darkred	Reduction in the number of detected genes
RT-PCR Mix	T4g32 protein - 0.25 ug - 5 ul rxn - 4 uM FS TSO3	darkred	Increases the amount of multi-mapped and intergenic reads
RT-PCR Mix	T4g32 protein - 0.25 ug - 5 ul rxn - 6 uM FS TSO3	darkred	Increases the amount of multi-mapped and intergenic reads
RT-PCR Mix	T4g32 protein - 0.25 ug - 5 ul rxn - 8 uM FS TSO3	darkred	Increases the amount of multi-mapped and intergenic reads
RT-PCR Mix	T4g32 protein (home-made) - 5 ug - 25 ul rxn	darkred	Increases the amount of multi-mapped and intergenic reads
RT-PCR reaction	RT 50°C - 60 min	green	Optimal condition for Superscript IV or Maxima H-
RT-PCR reaction	RT 37°C - 60 min	darkred	Increases the amount of multi-mapped reads 
RT-PCR reaction	Extension step pre-ampl PCR - 4 min	darkred	Lower number of detected genes
RT-PCR reaction	Extension step pre-ampl PCR - 6 min	green	Optimal condition
